"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"23310",740.712765598718,0.897356676638453,0.122582421795015,7.32043521002572,2.47168026929561e-13,3.07612967915186e-10
"6406",519.25029318764,-5.43114198005581,0.741906920363473,-7.32051667262383,2.47018018757935e-13,3.07612967915186e-10
"201305",171.497445283042,-3.33357085722849,0.461559637113727,-7.22240549038112,5.10759011231e-13,6.05395359454801e-10
"6545",283.163432194462,-4.33691912769672,0.60945974352979,-7.1160058949566,1.11099545412445e-12,1.20233860211355e-09
"991",632.67035430312,2.32777677542508,0.32696216170287,7.11940722223529,1.08392220544808e-12,1.20233860211355e-09
"730005",73.8738762981344,-4.09602891119597,0.576252948836734,-7.10803982776057,1.17702598246381e-12,1.22072307206278e-09
"6521",35.043977230715,3.55017379112068,0.501978819588222,7.07235774217111,1.52323110155092e-12,1.51658981394816e-09
"56898",2054.56115137473,-1.39895989087777,0.198289686800088,-7.05513188029883,1.72437100408166e-12,1.65081994856141e-09
"53841",289.285995612569,4.22321605500796,0.601139002889367,7.02535692195836,2.13519714521217e-12,1.96841452375837e-09
"100287745",36.0712897575966,-3.08300096930982,0.441621719665331,-6.98108999631218,2.9289859994014e-12,2.60376394682501e-09
"5276",35.5933234900532,-6.19209777939989,0.88907390823198,-6.96466033033581,3.29197040868575e-12,2.7858023944058e-09
"84418",9808.79400650735,-1.54983086010718,0.2226166987395,-6.96188052775301,3.35760201808581e-12,2.7858023944058e-09
"126",543.513166067326,-5.07571058766069,0.729570460598699,-6.95712184330417,3.47294583699132e-12,2.78855144608229e-09
"727677",32.2415868337631,3.3367915642061,0.479959191679994,6.95224015301463,3.59530668310968e-12,2.79658683279009e-09
"128344",292.640032737978,-2.68423931682856,0.390798561916439,-6.86860080463272,6.48346520614457e-12,4.8903009832165e-09
"6590",3424.52703153488,-4.55622876112882,0.667615287894036,-6.82463215529598,8.81508928573916e-12,6.45342315915686e-09
"84259",820.257989856186,0.98242543368505,0.144210106026622,6.81245899301737,9.5944410301015e-12,6.82329233372161e-09
"6574",2145.65665322045,1.41262119276914,0.207717749386548,6.80067638389607,1.04129093993198e-11,7.19965910717969e-09
"2206",68.5839008488526,-4.98525502336612,0.737796037382688,-6.75695554160359,1.40921407886384e-11,9.48020206405401e-09
"4166",1316.40281706461,-3.56027173591233,0.528270580636596,-6.73948515478943,1.58948833504085e-11,1.04115668809215e-08
"1515",272.057538736676,2.19448785437359,0.328249034470815,6.68543582439297,2.30238402274223e-11,1.39777172463602e-08
"440387",32.3582197616307,3.59686555534333,0.537915081291591,6.68667914405166,2.28291645105985e-11,1.39777172463602e-08
"90381",148.429255642188,1.86929505339858,0.279302157297551,6.69273403215123,2.19039039587869e-11,1.39777172463602e-08
"9768",207.840765190894,2.05033066482535,0.307450050758754,6.66882526044587,2.57859042018487e-11,1.52818319401956e-08
"6899",32.2271849326127,2.74581325922186,0.412074985615413,6.66338252762692,2.67595952995687e-11,1.54900717814317e-08
"5476",36753.316338813,-1.67340537866556,0.251319436398072,-6.65847975249716,2.76674394919401e-11,1.56515962816791e-08
"8707",88.1241464477651,-3.63246673569791,0.545843901622853,-6.65477204178372,2.83739478497225e-11,1.56945763539431e-08
"2039",2355.3415530052,-2.10455780292363,0.318214324688979,-6.61364885122821,3.74960592597718e-11,2.02894437181517e-08
"9961",20503.3749374083,-1.03151104389952,0.156084482041237,-6.60867134522056,3.8778453220736e-11,2.05369038110072e-08
"7802",331.493752908683,-2.29985926190208,0.349201925811026,-6.58604403902021,4.51699894255816e-11,2.34234626415032e-08
"56670",1077.20449732003,-3.86584990876217,0.589698361843514,-6.55563955897174,5.54039065181122e-11,2.81440538192312e-08
"113130",636.115185152156,1.75732985245004,0.269475428665939,6.52129903327308,6.97010653700971e-11,3.46985843625418e-08
"57405",178.513291027916,1.90490958578913,0.293390448647173,6.49274574060844,8.42858742996057e-11,4.0905187158034e-08
