"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3213",357.925636762674,-1.62824964394745,0.406462189014596,-4.0059067926955,6.17800091181644e-05,0.0152680867988845
"391771",1.62095473938198,1.65847594682695,0.417057778332282,3.97660955625577,6.99048007839963e-05,0.0171461233922972
"157713",18.6557386224672,-1.5463020546998,0.389120486907399,-3.97383871250084,7.07234636514044e-05,0.0172174688898217
"100462881",4.43242965950432,-1.67807880830258,0.423289160502621,-3.96437935313535,7.35871517400271e-05,0.017699389363167
"101928233",1.9380026335255,-2.06883631585827,0.521941974919495,-3.96372856614448,7.37881476730647e-05,0.017699389363167
"106480298",11.4913068112984,1.33644385206295,0.337577972133018,3.95891901245364,7.52897598222694e-05,0.01789565036889
"9750",836.438620402982,-0.843464612736207,0.213124755777253,-3.95760975612684,7.57035053309675e-05,0.01789565036889
"100128540",2.02716721024648,-1.48857116840147,0.37671570861331,-3.95144437666511,7.76809286377519e-05,0.0179723918724875
"163223",60.4178420950355,1.84914328630256,0.467960413432338,3.95149511203244,7.76644588014407e-05,0.0179723918724875
"166863",17.0757254312876,1.54511363311246,0.390818168484584,3.95353583254257,7.7004725674563e-05,0.0179723918724875
"115584",292.915981609894,1.63541644900564,0.414132506711856,3.94901733744733,7.84726685650974e-05,0.0180277140417648
"284904",9.85619158854886,1.63435608535499,0.415934035865018,3.92936365968709,8.51709510619113e-05,0.0194296976611306
"2878",2429.48773629316,1.19317006213494,0.303956020676052,3.92546941324313,8.65607692081988e-05,0.0194743821593784
"388942",15.3120231634682,1.76193426850433,0.448689875392727,3.92684204644055,8.60684625228733e-05,0.0194743821593784
"124925",1640.85523119792,-1.0281955067421,0.262308918551812,-3.91978859284956,8.8626677089648e-05,0.0198025990412226
"112937",157.399222424035,-1.37437340233962,0.350913846259464,-3.91655506612131,8.98233059784514e-05,0.0199334414124425
"100419722",1.36853343235666,-3.62598780972684,0.926311243177888,-3.91443787002649,9.06150658890798e-05,0.0199732748610376
"100507500",1734.2624840152,-1.83573480817948,0.469367707130323,-3.91108033273747,9.18842020877785e-05,0.0200641524955965
